dcline_id,from_bus_id,to_bus_id,status,Pf,Pt,Qf,Qt,Vf,Vt,Pmin,Pmax,QminF,QmaxF,QminT,QmaxT,loss0,loss1,muPmin,muPmax,muQminF,muQmaxF,muQminT,muQmaxT,from_interconnect,to_interconnect
0,69999,2077254,1,200.0,190.0,0,0,1,1,-200,200,0,0,0,0,0,0,0,0,0,0,0,0,Eastern,Western
1,67947,2070132,1,200.0,190.0,0,0,1,1,-200,200,0,0,0,0,0,0,0,0,0,0,0,0,Eastern,Western
2,67315,2070170,1,100.0,95.0,0,0,1,1,-100,100,0,0,0,0,0,0,0,0,0,0,0,0,Eastern,Western
3,66353,2060653,1,200.0,190.0,0,0,1,1,-200,200,0,0,0,0,0,0,0,0,0,0,0,0,Eastern,Western
4,65584,2060761,1,210.0,200.0,0,0,1,1,-210,210,0,0,0,0,0,0,0,0,0,0,0,0,Eastern,Western
5,61858,2053305,1,200.0,190.0,0,0,1,1,-200,200,0,0,0,0,0,0,0,0,0,0,0,0,Eastern,Western
6,61981,2053238,1,200.0,190.0,0,0,1,1,-200,200,0,0,0,0,0,0,0,0,0,0,0,0,Eastern,Western
7,63463,3002054,1,200.0,190.0,0,0,1,1,-200,200,0,0,0,0,0,0,0,0,0,0,0,0,Eastern,Texas
8,59722,3008126,1,600.0,550.0,0,0,1,1,-600,600,0,0,0,0,0,0,0,0,0,0,0,0,Eastern,Texas
9,2050383,2028847,1,2400.0,2300.0,0,0,1,1,-2400,2400,0,0,0,0,0,0,0,0,0,0,0,0,Western,Western
10,2013620,2025332,1,3100.0,3000.0,0,0,1,1,-3100,3100,0,0,0,0,0,0,0,0,0,0,0,0,Western,Western
11,69748,51390,1,1000.0,950.0,0,0,1,1,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,Eastern,Eastern
12,11613,6132,1,660.0,630.0,0,0,1,1,-660,660,0,0,0,0,0,0,0,0,0,0,0,0,Eastern,Eastern
13,6171,6219,1,660.0,630.0,0,0,1,1,-660,660,0,0,0,0,0,0,0,0,0,0,0,0,Eastern,Eastern
14,69731,49734,1,500.0,475.0,0,0,1,1,-500,500,0,0,0,0,0,0,0,0,0,0,0,0,Eastern,Eastern
15,2021181,2021641,1,400.0,375.0,0,0,1,1,-400,400,0,0,0,0,0,0,0,0,0,0,0,0,Western,Western
16,5423,7280,1,330.0,300.0,0,0,1,1,-330,330,0,0,0,0,0,0,0,0,0,0,0,0,Eastern,Eastern
